Product Alerts,产品提醒
We can't find the product.,找不到该产品
There are not enough parameters.,没有足够的参数。
You saved the alert subscription.,您保存了提醒订阅
Unable to update the alert subscription.,无法更新提醒订阅。
Alert subscription has been saved.,提醒订阅已保存。
You deleted the alert subscription.,您已删除提醒订阅
You will no longer receive price alerts for this product.,您不再接收此产品的价格提醒。
The product was not found.,产品未找到。
You will no longer receive stock alerts for this product.,您不再接收此产品的库存提醒。
You will no longer receive stock alerts.,您不再接收库存提醒。
Invalid block type: %1,无效块类型: %1
You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:,您收到该通知的原因是您订阅了当下列产品价格更改时接受提醒：
Price:,价格：
Click here not to receive alerts for this product.,点击这里不接收产品提醒
Unsubscribe from all price alerts,退订所有价格提醒
You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:,您收到该通知的原因是您订阅了当下列产品有库存时接收提醒：
Unsubscribe from all stock alerts,退订所有库存提醒
Start Time,开始时间
Frequency,频率
Error Email Recipient,错误邮件收件人
Error Email Sender,错误邮件发件人
Error Email Template,错误邮件模板
Allow Alert When Product Price Changes,允许价格变化时提醒
Allow Alert When Product Comes Back in Stock,允许有库存时提醒
Price Alert Email Template,价格提醒邮件模板
Stock Alert Email Template,库存提醒邮件模板
Alert Email Sender,提醒邮件发件人
Product Alerts Run Settings,产品提醒设置
Sign up for price alert,注册价格提醒
Sign up to be notified when this product is back in stock.,产品有货时，登录后通知
