Cancel,取消
Price,价格
Quantity,数量
ID,ID
SKU,SKU
Qty,数量
Incl. Tax,含税
Use Default,使用默认
Delete,删除
Name,名字
Add Option,添加选项
Stock Availability,库存情况
In Stock,有货
Out of Stock,缺货
Image,图像
Use To Create Configurable Product,用于创建可配置的产品
Create Empty,创建空
Generate Variations,产生变化
Create New Variation Set,创建新变化设置
Associated Products,相关产品
Quick simple product creation,快速创建简单产品
Autogenerate,自动生成
Select Configurable Attributes,选择可配置属性
Configurable Product Settings,可配置的产品设置
Configurable Product,可配置产品
Choose an Option...,选择选项...
This attribute is used in configurable products.,该属性已用于可配置产品。
Cannot add the item to shopping cart,无法将此产品添加到购物车
Please specify the product's option(s).,请指定产品选项
Some product variations fields are not valid.,一些产品变量字段无效
This group contains attributes used in configurable products. Please move these attributes to another group and try again.,这组包含的属性，在配置的产品中使用。请将这些属性移动到另一个组，然后再试一次
This attribute is used in configurable products. You cannot remove it from the attribute set.,该属性用于可配置的产品。您无法从属性集中将其删除。
Delete Variations Group,删除变量组
Sort Variations,排序变化
Variation Label,变量标签
Label,标签
Change Price,改价格
Include,包括
%,%
begin typing to add value,开始输入值
Variations,变量
Current Variations,当前变量
Display,展示
Weight,重量
Upload Image,上传产品
Choose,选择
Select,选择
No Image,没有图像
Attribute set comprising all selected configurable attributes need to be in order to save generated variations.,属性集，包含所有需要选定的可配置属性保存生成的变化
"Add configurable attributes to the current set (""<span data-role=""name-container"">%1</span>"")","在当前集合中添加可配置的属性 (""<span data-role=""name-container"">%1</span>"")"
Add configurable attributes to the new set based on current,在当前基础上添加可配置的属性到新集合
New attribute set name,新的属性集名称
Choose Affected Attribute Set,选择受影响的属性集
Confirm,确认
File extension not known or unsupported type.,不知道或不支持的文件扩展名。
Configurable Product Image,设置产品图片
