Email,电子邮件
Name,姓名
Submit,提交
* Required Fields,*必要字段
Telephone,手机
Thanks for contacting us with your comments and questions. We'll respond to you very soon.,感谢您联系我们并给出您意见和问题。我们会很快回复你。
"We can't process your request right now. Sorry, that's all we know.",我们目前无法处理您的请求。 对不起，这是我们所知道的。
Contact Information,联系信息
Comment,评论
Email Template,邮件模板
Contacts,Contacts
Contact Us,联系我们
Enable Contact Us,启用联系我们
Email Options,邮件选项
Send Emails To,发送邮件至
Email Sender,电子邮件发件人
Contacts,联系人
Jot us a note and we’ll get back to you as quickly as possible.,给我们留言，我们将尽快予您回复
Phone Number,电话号码
What’s on your mind?,您的其他想法？
Write Us,写留言
Contact Us,联系我们
