Custom,自定义
Close,关闭
Cancel,取消
Back,返回
Price,价格
ID,ID
Configure,配置
No,否
Qty,数量
Subtotal,小计
Incl. Tax,含税
Edit,编辑
--Please Select--,"""--请选择--"""
Customer,客户
First Name,名字
Last Name,姓
Email,邮箱
-- Please Select --,--请选择--
Yes,是
Status,状态
Enabled,激活
Sort Order,排序
Title,标题
Are you sure you want to do this?,您确定要这样做吗？
Order,订单
View,查看
Active,自动的
Position,位置
Dynamic,动态
N/A,N/A
Canceled,已取消
General Information,基本信息
Static,静态
Advanced Settings,高级设置
Learn More,了解更多
Start Date,起始日期
Product Name,产品名称
3D Secure Card Validation,3D安全卡验证
Merchant Liability,商家责任
Billing Information,账单信息
Shipping Information,收货信息
Shipping Method,运送方式
Please agree to all the terms and conditions before placing the order.,请在下订单前同意所有的条款和条件。
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","需要帐户确认. 请查看电子邮件确认链接. 请重新发送确认邮件 <a href=""%1"">点击这里</a>."
Password,密码
Continue,继续
Order #,订单 #
Login,登录
Shipping Address,送货地址
Payment Method,付款方式
Place Order,下订单
"Sorry, no quotes are available for this order at this time.",抱歉，当前该订单中没有报价可用。
Sales,销售
Created,已创建
Display,显示
User,用户
Daily,每天
Date,日期
Order Total,订单总数
Never,永不
Updated,更新
Reports,报告
Order Status,订单状态
View Order,查看订单
Event,事件
Please Select,请选择
Submitting order information...,正在提交订单信息...
Authorization,授权
You notified customer about invoice #%1.,您已通知客户关于发票 #%1.
Note: %1,注意: %1
"IPN ""%1""","IPN ""%1"""
Billing Agreements,记账协议
Reference ID,参考ID
Billing Agreement #%1,帐单协议 #%1
Related Orders,相关订单
Billing Agreement View,记账协议视图
View Transaction Details,查看交易详情
Reference Information,参考信息
Transaction Information,交易信息
PayPal Fee Information,PayPal费用信息
PayPal Settlement Reports,PayPal处理报告
We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?,我们正在连接到Paypal SFTP服务器以检索新报告. 您确定要继续吗？
Fetch Updates,获取更新
button_label,按钮名称
sandbox_button_label,sandbox_button_label
Help,帮助
There is already another PayPal solution enabled. Enable this solution instead?,已启动另外一个paypal解决方案.启动此决绝方案作为替代？
The following error(s) occured:,发生了以下错误:
Some PayPal solutions conflict.,一些paypal解决冲突.
PayPal Express Checkout is not enabled.,未启用paypal快速结账
Please re-enable the previously enabled payment solutions.,请重新启用先前已启用的支付解决方案
View Demo,查看演示
See terms,见条款
You will be redirected to the PayPal website.,您将被重定向到PayPal网站。
Would you like to sign a billing agreement ' 'to streamline further purchases with PayPal?,您愿意签账单协议吗 ' '为简化用paypal进一步购物
You will be redirected to the PayPal website when you place an order.,在您下单时，您会被重定向到PayPal网站。
Click here if you are not redirected within 10 seconds.,如果在10秒内没有重定向，请点击这里
You will be redirected to the PayPal website in a few seconds.,几秒钟后，您将被重定向到PayPal网站。
You canceled the billing agreement.,你取消账单协议。
We could not cancel the billing agreement.,您不能取消账单协议
You deleted the billing agreement.,您已删除账单协议
We could not delete the billing agreement.,我们不能删除账单协议
Please specify the correct billing agreement ID and try again.,请指定正确的账单协议 ID 并重试
View Transaction,查看交易
We found nothing to fetch because of an empty configuration.,因为空的配置我们一无所获
We fetched %1 report rows from '%2@%3'.,我们从'%2@%3'获取到%1的报告行
We couldn't fetch reports from '%1@%2'.,我们不能从'%2@%3'获取报告
Billing Agreement # %1,账单协议 # %1
We couldn't start the billing agreement wizard.,不能开始账单协议向导
