Remove,删除
Back,返回
Price,价格
Shopping Cart,购物车
You added %1 to your shopping cart.,您已添加 %1 到您的购物车
"The coupon code ""%1"" is not valid.",优惠码 %1 无效
Shopping Cart Items,购物车里的产品
Qty,数量
Subtotal,小计
Excl. Tax,不含税
Total,总数
Incl. Tax,含税
Total incl. tax,杂费总额
Move to Wishlist,移动到收藏夹
Edit item parameters,编辑项目参数
Edit,编辑
Remove item,删除项目
Item,产品
Unit Price,单价
Loading...,加载...
* Required Fields,*必要字段
Change,更改
See price before order confirmation.,确认订单前显示价格。
What's this?,这是什么？
1 item,一个产品
%1 items,产品 %1
Product Name,产品名
Invalid method: %1,无效方式: %1
My Cart (1 item),我的购物车 (一个产品)
My Cart (%1 items),我的购物车 (产品 %1)
My Cart,我的购物车
New Address,新地址
Country,国家
State/Province,州/省
Billing Information,账单信息
Checkout Method,支付方法
Payment Information,支付信息
Order Review,订单总览
Shipping Information,运送信息
Shipping Method,运送方式
Minimum order amount is %1,最小订单金额为 %1
We cannot add this item to your shopping cart,我们不能将这个产品添加到您的购物车
We can't find the quote item.,我们找不到加入购物车的商品
We cannot configure the product.,我们不能配置该产品
%1 was updated in your shopping cart.,%1 在您的购物车中已更新
We cannot update the item.,我们不能更新该产品
We cannot update the shopping cart.,我们不能更新购物车
We cannot remove the item.,我们不能删除该产品
"The coupon code ""%1"" was applied.","优惠劵 ""%1""已提供"
The coupon code was canceled.,取消优惠劵
We cannot apply the coupon code.,我们不能提供优惠劵
The onepage checkout is disabled.,单页面结账已被禁用。
Checkout,结账
Unable to set Payment Method,无法设置付款方式
Please agree to all the terms and conditions before placing the order.,请在下订单前同意所有的条款和条件。
Something went wrong processing your order. Please try again later.,处理您的订单是出错. 请稍候再试.
We can't find the product.,我们找不到该产品
The product does not exist.,产品不存在。
We don't have some of the products you want.,我们没有你想要的产品。
We don't have as many of some products as you want.,我们没有您想要的尽可能多的产品
Quantity was recalculated from %1 to %2,从 %1 到 %2 的数量重新计算
Some products quantities were recalculated because of quantity increment mismatch.,由于数量增加不符合，部分产品数量重新计算
This quote item does not exist.,引用条文不存在
Display number of items in cart,显示购物车中项目的数量
Display item quantities,显示项目数量
Load customer quote error,载入客户报价错误
Invalid data,无效数据
The customer address is not valid.,客户地址无效
There is already a registered customer using this email address. Please log in using this email address or enter a different email address to register your account.,已有注册客户使用这个邮箱. 请用此邮箱登录或者输入新的邮箱地址注册账户。
Password and password confirmation are not equal.,密码和再次确认密码不相符
Invalid shipping method,无效的运输方式
There are more than one shipping address.,收货地址多余一个.
"Sorry, guest checkout is not enabled.",对不起， 没有启动以访客形式结算方式
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.",帐户确认是必要的。请检查您的确认链接的电子邮件。重新发送确认电子邮件请<a href=””%s””>点击这里</a>.”
Discount Codes,折扣代码
Enter your code,输入优惠劵
Apply Coupon,应用优惠券
Cancel Coupon,取消优惠券
Continue Shopping,继续购物
Update Shopping Cart,更新购物车
Clear Shopping Cart,清空购物车
Update Cart,更新购物车
Unit Price Excl. Tax,不含税单价
Unit Price Incl. Tax,含税单价
Subtotal Excl. Tax,不含税小计
Subtotal Incl. Tax,含税小计
Items in Cart,购物车内产品
Recently added item(s),最近添加的项目
You have no items in your shopping cart.,您的购物车内没有物品。
Order total will be displayed before you submit the order,在您提交订单前将显示订单总量
Cart Subtotal,购物车小计
View cart,查看购物车
Are you sure you would like to remove this item from the shopping cart?,您确认要从购物车中删除该项目吗？
"Click <a href=""%1"">here</a> to continue shopping.","点击 <a href=""%1"">这里</a> 继续购物."
Estimate Shipping and Tax,预计运费和税费
Enter your destination to get a shipping estimate.,输入您的目的地来获得预计运送信息。
"Please select region, state or province",请选择地区、州，或省
City,城市
Zip/Postal Code,邮政编码
Get a Quote,获得报价
Update Total,更新总额
View Details,查看细节
Options Details,选项细节
Total:,总共:
Edit item,编辑项目
You will see the order total before you submit the order.,在提交订单之前，您将看到订单总数
Loading next step...,正在载入下一步...
