Remove,删除
Cancel,取消
Edit,编辑
Email,邮件
Save,保存
General,基本
Name,名字
Status,状态
View,界面
Active,激活
Basic Settings,基本设置
Allow,允许
Inactive,无效
Integrations,集成
Third Integrations,第三方集成
Add New Integration,添加新集成
Save & Activate,保存并激活
New Integration,新集成
Edit Integration '%1',编辑集成 '%1'
Integration Info,集成信息
Callback URL,回调网址
Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.,在使用Oauth令牌交换，Oauth凭证可发送处输入网址，我们强烈建议使用 https://.
Identity link URL,身份链接网址
URL to redirect user to link their 3rd party account with this Magento integration credentials.,重定向网址客户用Maganto集成凭据链接到他们的第三方账户.
Integration Details,集成细节
Integration Tokens for Extensions,扩展集成标记
Consumer Key,密钥
Consumer Secret,客户秘密
Access Token,访问标记
Access Token Secret,访问标记秘密
Uninstall the extension to remove this integration,删除集成卸载扩展
Activate,启动
Reauthorize,授权
Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information,警告! 不使用HTTPS的集成是安全的有潜在的公开私人或个人识别信息
Internal error. Check exception log for details.,内部错误。 检查异常日志以获取详细信息。
Integration ID is not specified or is invalid.,集成标识为指定或无效
"View ""%1"" Integration","查看 ""%1"" 集成"
"Edit ""%1"" Integration","编辑 ""%1"" 集成"
The integration '%1' has been saved.,已保存集成 '%1'
The integration was not saved.,该集成未保存
Uninstall the extension to remove integration '%1'.,卸载扩展删除集成 '%1'.
This integration no longer exists.,该集成不存在
The integration '%1' has been deleted.,集成 '%1' 已删除
The integration '%1' has been re-authorized.,集成 '%1'已重新授权
The integration '%1' has been activated.,集成 '%1'已激活
Integration '%1' has been sent for re-authorization.,已发送集成 '%1'再次审批
Integration '%1' has been sent for activation.,集成“% 1”已发送激活。
Invalid Callback URL,无效的回调网址
Invalid Rejected Callback URL,无效的拒绝回调网址
%name% '%value%' is too long. It must has length %min% symbols.,%name% '%value%' 太长. 必须有%min% 长度字符
%name% '%value%' is too short. It must has length %min% symbols.,%name% '%value%' 太短. 必须有 %min%长度字符
Integration with name '%1' exists.,存在名为%1的集成
Integration with ID '%1' does not exist.,不存在集成ID为 %1
A consumer with ID %1 does not exist,不存在ID为%1的客户
Consumer with ID '%1' does not exist.,ID为 '%1' 的客户不存在
The integration you selected asks you to approve access to the following:,您选择的集合要求您批准访问以下
Are you sure ?,您确定吗？
Are you sure you want to delete this integration? You can't undo this action.,你确定要删除这个集合吗？你不能撤消这个动作。
Please setup or sign in into your 3rd party account to complete setup of this integration.,请安装或登录到您的第三方帐户，以完成这一集合的设置。
Done,完成
"Sorry, something went wrong. Please try again later.",对不起， 出错了，请稍候再试
OAuth,OAuth
Cleanup Settings,清理设置
Cleanup Probability,清理概率
Expiration Period,过期时间
Consumer Settings,客户设置
OAuth consumer credentials HTTP Post maxredirects,OAuth 消费者凭据上传网页每页所允许的最大重定向
OAuth consumer credentials HTTP Post timeout,OAuth 消费者凭据上传网页t超时
Integrations Configuration,集成配置
Integration configuration file.,集成配置文件
No Integrations Found,没有发现集成
Extensions,扩展
