Action,动作
Tax,税
Website,网站
All Websites,所有网站
Add Tax,添加杂费
Delete Tax,删除杂费
"We found a duplicate of website, country and state fields for a fixed product tax",我们发现一个复制的网站，国家和州字段为一个固定的产品税
Including FPT only,仅包含 FPT
Including FPT and FPT description,包含 FPT 和 FPT 描述
"Excluding FPT, FPT description, final price",不包含 FPT，FPT 描述，最终价格
Excluding FPT,不包含 FPT
Fixed Product Tax,固定产品税费
Country/State,国家/州
Fixed Product Taxes,固定产品税
Enable FPT,激活 FPT
Display Prices In Product Lists,在产品列表中显示价格
Display Prices On Product View Page,在产品显示页中显示价格
Display Prices In Sales Modules,在销售模块中显示价格
Display Prices In Emails,在邮件中显示价格
Apply Tax To FPT,商品固定税应用税率
Include FPT In Subtotal,小计中包含商品固定税
FPT,FPT
