All,全部
Are you sure?,您确定吗？
No,否
Action,操作
Edit,编辑
Results,结果
Uses,应用
Delete,删除
Store,商店
Yes,是
Home,主页
Search,搜索
Search Query,搜索查询
Redirect URL,重定向网址
Go to Home Page,前往主页
Grid,网格
List,列表
Catalog Advanced Search,分类高级搜索
Relevance,关联
Search results for: '%1',%1'的搜索结果
Minimum Search query length is %1,搜索查询的最小长度是 %1
"Your search query can't be longer than %1, so we had to shorten your query.",你的搜索查询不能超过 %1， 所以我们需要缩短您的搜索
"Sorry, but the maximum word count is %1. We left out this part of your search: %2.",对不起，最多的字数是% 1。我们忽略了这部分的搜索：% 2。
Please specify at least one search term.,请至少指定一个搜索词。
%1 and greater,%1及更大
up to %1,最多 %1
"Attribute setting change related with Search Index. Please run <a href=""%1"">Rebuild Search Index</a> process.",性设置修改与搜索索引相关。请运行<a href=””%s””>重建搜索索引</a> 程序”
Catalog Search,分类搜索
Rebuild Catalog product fulltext search index,重建目录产品全文搜索索引
Please specify correct data.,请指定正确的数据。
Search Settings,搜索设置
<strong>%1 item</strong> were found using the following search criteria,<strong>%1 条</strong> 被发现使用下面的搜索标准
<strong>%1 items</strong> were found using the following search criteria,<strong>%1 条</strong> 被发现使用下面的搜索标准
No items were found using the following search criteria.,没有找到使用下列搜索条件的项目。
Modify your search,修改您的搜索
name,名字
Don't see what you're looking for?,没看到您要找的东西？
Search entire store here...,在这里搜索整个商店...
Advanced Search,高级搜索
Your search returns no results.,您的搜索未找到结果。
There are no search terms available.,没有可用的搜索词
Popular Search Terms,热门搜索词
Minimal Query Length,最小查询长度
Maximum Query Length,最大查询长度
Maximum Query Words Count,最大查询词数
"Applies for ""Like"" search type only",仅应用于“相似”搜索类型
Search Type,搜索类型
Apply Layered Navigation if Search Results are Less Than,应用分层导航，如果搜索结果少于
"Enter ""0"" to enable layered navigation for any number of results.",输入 “0” ，使任何数都启用分层导航
Synonym,同义词
Suggested Terms,建议条款
yes,是
no,否
