Custom,自定义
Are you sure?,你确定吗?
Close,关闭
Cancel,取消
Back,返回
Product,产品
Price,价格
Quantity,数量
ID,ID
SKU,SKU
Customers,客户
No,否
Subtotal,小计
Discount,折扣
Action,操作
Excl. Tax,不含税
Total,总额
Incl. Tax,含税
Total incl. tax,杂费总额
Reset,重设
Edit,编辑
What is this?,这是什么
Invalid Form Key. Please refresh the page.,无效的表单密钥。请刷新页面
You entered an invalid Secret Key. Please refresh the page.,你输入了一个无效的密钥。请刷新页面
Cache Storage Management,缓存存储管理
Flush Magento Cache,缓存刷新
Cache storage may contain additional data. Are you sure that you want flush it?,缓存存储可能包含其他数据.你确定刷新?
Flush Cache Storage,全局缓存刷新
Invalidated,无效的
Orders,订单
Amounts,总量
Bestsellers,最畅销产品
Most Viewed Products,查看最多的产品
New Customers,新客户
Customer,客户
Guest,访客
Items,产品
Grand Total,总额
Lifetime Sales,全部销售
Average Orders,平均销售
Search Term,搜索词
Results,结果
Uses,使用
Average,平均
Order Quantity,订单数量
Views,界面
Revenue,收入
Tax,税
Shipping,运费
"Images (.gif, .jpg, .png)","图片 (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","媒体 (.avi, .flv, .swf)"
All Files,所有文本
Interface Language,界面语言
Reset to Default,重置为默认值
All Store Views,所有商店界面
Save Account,保存账户
My Account,我的账户
Account Information,账户信息
User Name,用户名称
First Name,名字
Last Name,姓
Email,邮箱
User Email,用户邮箱
New Password,新密码
Password Confirmation,密码确认
Interface Locale,界面语言
Save Cache Settings,保存缓存设置
Catalog Rewrites,目录重写
Refresh,刷新
Images Cache,图片缓存
Clear,清除
Search Index,搜索索引
Rebuild,重建
Inventory Stock Status,库存状况
Rebuild Catalog Index,重建目录索引
Rebuild Flat Catalog Category,重建平面目录类别
Rebuild Flat Catalog Product,重建平面目录产品
Cache Control,缓存控制
All Cache,所有缓存
No change,无改变
Disable,未激活
Enable,激活
Default Config,默认配置
Save Config,保存配置
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
[STORE VIEW],[STORE VIEW]
Use Default,使用默认
Use Website,使用网站
Add,添加
Delete File,删除文件
Search String,搜索字符串
Design Theme,设计网站模板
Add \Exception,添加 \异常
-- No Theme --,-- 没有网站模板 --
Synchronize,同步
Configuration,设置
Add Design Change,添加设计更改
Delete,删除
Save,保存
Edit Design Change,修改界面设计
New Store Design Change,新店界面设计
General Settings,基本设置
Global Settings,全局设置
Store,店铺
-- Please Select --,-- 请选择 --
Custom Design,网站模板设计
Date From,开始日期
Date To,结束日期
Design Change,界面设计
General,基本的
Delete %1 '%2',删除 %1 '%2'
Delete %1,删除 %1
Block Information,块信息
Backup Options,备份选项
Create DB Backup,创建DB备份
Yes,是
Delete Store,删除商店
Delete Web Site,删除网站
Save Web Site,保存网站
Save Store,保存商店
Save Store View,保存商店界面
Delete Store View,删除商店界面
Edit Web Site,编辑网站
New Web Site,新网站
Edit Store,编辑商店
New Store,新商店
Edit Store View,编辑商店界面
New Store View,新商店界面
Store Information,店铺信息
Web Site,网站
Name,名字
Root Category,根目录
Default Store View,默认商店界面
Store View Information,商店界面信息
Code,代码
Status,状态
Disabled,禁用
Enabled,激活
Sort Order,排序
Web Site Information,网站信息
Default Store,默认商店
Set as Default,默认设置
Stores,商店
Create Website,创建网站
Create Store,创建商店
Create Store View,创建商店界面
Custom Variables,自定义变量
Add New Variable,添加新变量
Save and Continue Edit,保存并继续编辑
"Custom Variable ""%1""","自定义变量 ""%1"""
New Custom Variable,新的自定义变量
Variable,变量
Variable Code,变量代码
Variable Name,变量名称
Use Default Variable Values,使用默认变量值
Variable HTML Value,HTML 变量值
Variable Plain Value,普通值变量
URL Rewrite Management,URL重写管理
Add URL Rewrite,添加URL重写
Edit URL Rewrite for a Category,为类目修改URL重写
Add URL Rewrite for a Category,为类目添加URL重写
Category:,类目:
We can't set up a URL rewrite because the product you chose is not associated with a website.,因为您选的产品和任何网站都不关联，我们无法建立URL重写
We can't set up a URL rewrite because the category your chose is not associated with a website.,因为您选的类目和任何网站都不关联，我们无法建立URL重写
Edit URL Rewrite for a Product,为一个产品编辑URL 重写
Add URL Rewrite for a Product,为一个产品添加URL 重写
Product:,产品:
Skip Category Selection,忽略目录选项
Edit URL Rewrite for CMS page,为 CMS 页编辑URL 重写
Add URL Rewrite for CMS page,为 CMS 页添加URL 重写
CMS page:,CMS 页:
Chosen cms page does not associated with any website.,选择的CMS页与任何网站都不关联
Title,标题
URL Key,网址
Store View,商店界面
Edit URL Rewrite,编辑 URL 重写
Add New URL Rewrite,添加新的 URL 重写
Are you sure you want to do this?,您确认要这么做么？
URL Rewrite Information,URL 重写信息
Type,类型
ID Path,ID路径
Request Path,请求路径
Target Path,目标路径
Redirect,重定向
Description,描述
For category,分类
For product,产品
For CMS page,CMS 页
Create URL Rewrite:,创建 URL 重写:
Global Attribute,全局属性
This attribute shares the same value in all stores.,此属性在所有商店中共享相同的值
Home,首页
Add New Image,添加新图片
