Cancel,取消
Price,价格
ID,ID
SKU,SKU
Qty,数量
Name,名字
Availability,库存
In stock,有货
Out of stock,缺货
Availability:,库存：
No options of this product are available.,没有该产品的选项可用.
Excl. Tax:,不含税:
Incl. Tax:,含税:
Product Name,产品名
Associated Products,相关产品
Grouped Products,组合产品
Grouped Product,组合产品
We cannot process the item.,我们不能处理该项目。
Please specify the quantity of product(s).,请指定产品数量.
There are no grouped products.,没有组合产品
Default Qty,缺省数量
Starting at:,起价:
Grouped product items,组合产品的项目
Add Selected Products,添加已选择产品
Add Products to Group,添加产品到群组
Grouped Product Image,组合产品的图片
