Close,关闭,
Cancel,取消,
Add Products,添加产品,
No,否,
Delete File,删除文件,
Delete,删除文件,
Save,保存,
Yes,是,
Please select items.,请选择条目,
Submit,提交,
Error,错误,
Please wait...,请稍候,
Please select an option.,请选择.,
This is a required field.,此栏不能为空,
Please enter a valid number in this field.,请输入正确的数字在这里,
Please enter a valid date.,请输入正确的日期,
Please make sure your passwords match.,请确认密码一致,
Please enter a valid zip code.,请输入正确的邮编,
Please select State/Province.,请选择州/省,
Please enter a number greater than 0 in this field.,请在此栏输入0以上数字,
Please enter a valid credit card number.,请输入正确的信用卡号码,
"Please wait, loading...",请稍候，加载中...,
No records found.,未发现记录.,
Loading...,加载中…,
OK,OK,
New Option,新的选项,
Import,导入,
start typing to search category,开始输入搜索类别,
Please enter a number 0 or greater in this field.,请在此栏输入0以上数字.,
The From Date value should be less than or equal to the To Date value.,其实日期值必须小于或者等于终止日期值.,
select all,全选,
Allow,允许,
Please specify at least one search term.,请指定至少一个搜索关键词.,
Delete Folder,删除文件夹,
Folder,文件夹,
Are you sure you want to delete this address?,您确定要删除此地址吗?,
"Sorry, there was an unknown error.",对不起， 存在未知错误,
Activate,启动,
Reauthorize,授权,
Create New Wish List,穿件新的收藏夹,
Please enter a valid credit card verification number.,请输入有效的信用卡确认数字.,
Edit Order,编辑订单,
Please specify a shipping method.,请指定一个运输方式.,
Complete,完成,
Upload Security Error,上传安全错误,
Upload HTTP Error,上传 HTTP错误,
Upload I/O Error,上传I/O错误,
SSL Error: Invalid or self-signed certificate,SSL错误: 无效或自签名证书,
TB,TB,
GB,GB,
MB,MB,
kB,kB,
B,B,
Add Products By SKU,通过SKU添加产品,
Insert Widget...,插入部件...,
HTML tags are not allowed,不允许HTML标记,
The value is not within the specified range.,该值不在指定范围内.,
Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.,此处仅适用数字.避免使用空格或者其他字符如点和逗号等,
Please use letters only (a-z or A-Z) in this field.,请使用字母 (a-z 或 A-Z) 填写此栏.,
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.",请使用字母(a-z)，数字(0-9)或下划线(_)，第一个字符必须是字母,
Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.,请使用字母(a-z or A-Z)或数字(0-9)。空格或其他字符是不允许的.,
Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.,请使用字母（az或AZ）或数字（0-9）或空格和＃.,
Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.,请输入一个有效的传真号码。例如(123) 456-7890 or 123-456-7890.,
Please enter a valid email address. For example johndoe@domain.com.,请输入一个正确的邮箱地址，例如 johndoe@domain.com,
Please use only visible characters and spaces.,只能使用可见字符和空格,
Please enter 6 or more characters. Leading or trailing spaces will be ignored.,请输入6个或更多字符，前后空格将被忽略。,
Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.,请输入7个或多个字符。密码应该包含数字和字母字符,
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","输入正确的网址。协议(http://, https:// or ftp://)",
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","请输入一个网址. 比如.""example-page"", ""example-page.html"" 或 ""anotherlevel/example-page"".",
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","请输入一个有效的XML标识符. 例如 something_1, block5, id-4.",
Please enter a valid social security number. For example 123-45-6789.,请输入正确的social security号码. 例如 123-45-6789.,
