ID,ID
Apply,应用
No,否
Subtotal,小计额度
Discount,折扣帐户
Uses,用户数
Delete,删除
Yes,是
Web Site,网站
Status,状态
Save and Continue Edit,保存并继续编辑
Description,描述
Catalog,分类
Actions,操作
Rule,规则名称
Start on,开始日
End on,过期日
Active,活动
This rule no longer exists.,该规则已不存在。
General Information,常规信息
Websites,网站
Add New Rule,添加新规则
Edit Rule '%1',编辑规则 '%1'
New Rule,新规则
Rule Information,规则信息
Discount Amount,折扣金额
Stop Further Rules Processing,停止进一步的规则处理
Conditions,条件
Rule Name,规则名称
Inactive,未激活
Customer Groups,客户组
From Date,来自日期
To Date,截止日期
Priority,优先级
Promotions,促销
Edit Rule,修改规则
The rule has been saved.,规则已保存。
An error occurred while saving the rule data. Please review the log and try again.,保存规则数据时出错。请查看日志并重试.
The rule has been deleted.,规则已删除。
An error occurred while deleting the rule. Please review the log and try again.,删除规则数据时出错。请查看日志并重试.
Update the Product,更新产品
To Fixed Value,为固定值
To Percentage,为百分率
By Fixed value,由固定值
By Percentage,按百分比
Update product's %1 %2: %3,更新产品的 %1 %2: %3
Conditions Combination,条件组合
Product Attribute,产品属性
Shipping Method,运送方式
Payment Method,支付方式
Created,创建于
Alphanumeric,字母表
Apply To,应用给
is one of,is one of
is not one of,is not one of
equals or greater than,大于或者等于
equals or less than,小于或者等于
greater than,大于
less than,小于
Alphabetical,字母表
Numeric,数字
Generate,生成
Auto,自动
Coupon,折扣券
Shopping Cart Price Rule,购物车价格规则
Coupon Code,折扣券代码
is,是
is not,不是
CSV,CSV
Excel XML,Excel XML
Total Weight,总重量
Discount (%1),折扣 (%1)
Store View Specific Labels,店铺视图指定的标签
Shopping Cart Price Rules,购物车价格规则
Update prices using the following information,使用下列信息更新价格
Percent of product price discount,产品价格折扣比例
Fixed amount discount,定额折扣
Fixed amount discount for whole cart,整个购物车的定额折扣
Buy X get Y free (discount amount is Y),购买 X 即可免费获得 Y（折扣额是Y）
Maximum Qty Discount is Applied To,最大数量优惠应用于
Discount Qty Step (Buy X),折扣数量步骤(购买 X)
Apply to Shipping Amount,应用给运单额度
Apply the rule only to cart items matching the following conditions ' '(leave blank for all items).,只有和以下条件匹配（保存所有项目为空)该规则运用于购物车产品
Apply the rule only if the following conditions are met (leave blank for all products).,只有在满足下列条件（所有产品保存为空白）应用该规则。
Manage Coupon Codes,管理折扣券代码
Coupons Information,折扣券信息
Coupon Qty,折扣卷数量
Code Length,代码长度
"Excluding prefix, suffix and separators.",包含前缀、后缀，以及分隔符。
Code Format,代码格式
Code Prefix,代码前缀
Code Suffix,代码后缀
Dash Every X Characters,每x个字符加横线
If empty no separation.,如果为空则不分隔。
Times Used,使用时间
Are you sure you want to delete the selected coupon(s)?,你是否确定要删除所选折扣券？
Labels,标签
Default Label,默认标签
Default Rule Label for All Store Views,针对所有店铺视图的默认规则标签
Use Auto Generation,使用自动生成
If you select and save the rule you will be able to generate multiple coupon codes.,如果选择并保存该规则，你就可以生成多个折扣券代码。
Uses per Coupon,每代金券使用
Uses per Customer,每客户使用
Usage limit enforced for logged in customers only.,仅为登录客户执行使用限制
Public In RSS Feed,发布到RSS源中
Cart Price Rules,购物车价格规则
New Cart Price Rule,新购物车价格规则
The wrong rule is specified.,指定了错误的规则。
We can't find a rule to delete.,没有找到要删除的规则
Rule is not defined,规则未定义
Invalid data provided,提供的数据无效
%1 coupon(s) have been generated.,优惠劵%1 已产生
Something went wrong while generating coupons. Please review the log and try again.,生成优惠劵时出错，请查看日志并重试.
We cannot create the requested Coupon Qty. Please check your settings and try again.,我们不能创建要求的优惠劵数量，请查看你的设置并重试. 
"%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled.",基于%2 属性，% 1购物车价格规则已被禁用。
Coupon with the same code,使用相同代码的折扣券
No Coupon,无代金券
Specific Coupon,指定代金券
Can't acquire coupon.,无法获取代金券。
Special Price,特殊价格
Total Items Quantity,总商品数量
Shipping Postcode,运送邮编
Shipping Region,运送地区
Shipping State/Province,运行州/省
Shipping Country,运送国家
Product attribute combination,产品属性组合
Products subselection,产品复选
Conditions combination,条件组合
Cart Attribute,购物车属性
Quantity in cart,购物车中数量
Price in cart,购物车价格
Row total in cart,购物车中行数
Cart Item Attribute,购物车产品属性
FOUND,找到
NOT FOUND,未找到
If an item is %1 in the cart with %2 of these conditions true:,如果一个项目在 %2条件下是 % 1的话是真的
total quantity,总量
total amount,总数
If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:,如果 %1 2% %3 对于在购物车中的部分产品与 %4 的这些条件匹配：
Item totals are not set for the rule.,未设产品总数的规则
Auto Generated Specific Coupon Codes,自动生成的具体优惠券代码
End,结束
