Cancel,取消
From,来自
To,发送至
OK,确定
Gift Message,礼品消息
Message,信息
Unknown entity type,未知实体类型
Gift Options,礼品选项
Do you have any gift items in your order?,您的订单中包含任何礼品项目吗？
Add gift options,添加礼品选项
Gift Options for the Entire Order,整个订单的礼品选项
Add gift options for the Entire Order,为整个订单添加礼品选项
"If you don't want to leave a gift message for the entire order, leave this box blank.",如果您不想为整个订单留礼品信息，请将此框留空
Gift Options for Individual Items,适用于单个项目的礼品选项
Add gift options for Individual Items,为单个项目添加礼品选项
Item %1 of %2,Item %1 of %2
You can leave a box blank if you don't wish to add a gift message for the item.,果你不想为该项目添加礼品信息， 此框请留空
Gift Options for this address.,适用于该地址的礼品选项。
You can leave this box blank if you do not wish to add a gift message for this address.,如果您不想为该地址添加礼品信息，则可以在这里留空。
You can leave this box blank if you do not wish to add a gift message for the item.,如果您不想为该商品添加礼品信息，则可以在这里留空。
Allow Gift Messages on Order Level,运行整个订单的礼物留言
Allow Gift Messages for Order Items,运行订购商品礼物留言
