All,全部
None,无
Are you sure?,您是否确定？
Cancel,取消
Back,返回
Product,产品
Price,价格
Quantity,数量
Products,产品
Product List,产品列表
Category List,产品分类
Product Attributes,产品属性
ID,ID
SKU,SKU
No,否
Qty,数量
Action,操作
Reset,重置
Edit,编辑
Add to Cart,添加到购物车
"Images (.gif, .jpg, .png)","图片 (.gif, .jpg, .png)"
First Name,名字
Last Name,姓氏
Email,电子邮件
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
[STORE VIEW],[STORE VIEW]
Use Default,使用默认
Delete,删除
Save,保存
Store,商店
-- Please Select --,-- 请选择 --
Custom Design,自定义设计
Yes,是
Web Site,网站
Name,姓名
Status,状态
Disabled,已禁用
Enabled,已启用
Save and Continue Edit,保存并继续编辑
Title,标题
Store View,店铺视图
Type,类型
Home,主页
Search,搜索
Select All,全选
Add New,添加新内容
Please select items.,请选择项目。
Select Items,选择项目
Required,要求
Website,网站
All Websites,所有网站
Next,下一个
Please enter a valid number in this field.,请在该字段中输入有效数字
Catalog,分类
Images,图片
per page,每页
Mass Actions,批量操作
Unselect All,全部取消
Select Visible,选择可见
Unselect Visible,取消可见
items selected,选定的产品
The information in this tab has been changed.,此选项卡中的信息已更改
This tab contains invalid data. Please solve the problem before saving.,此选项卡包含无效数据。请在保存前解决该问题
Loading...,加载…
OK,OK
Visibility,可见性
Position,位置
Fixed,固定
Use Default Value,使用默认值
N/A,N/A
Percent,百分比
Option Title,选择标题
Input Type,输入类型
New Option,新选择
Price Type,价格类型
* Required Fields,*必填字段
Availability,有效
In stock,现货
Out of stock,缺货
Excl. Tax:,不含税
Incl. Tax:,含税
Root,根
Save Category,保存分类
Delete Category,删除分类
New Subcategory,新建子类别
New Root Category,新建根类别
Set Root Category for Store,为店铺选择根分类
Use Config Settings,使用配置设置
Use All Available Attributes,使用所有可用属性
General Information,常规信息
Category Data,分类数据
Category Products,分类产品
Add Subcategory,添加子分类
Add Root Category,添加根分类
Create Permanent Redirect for old URL,为老URL创建永久重定向
Day,天
Month,月
Year,年
"<label class=""label""><span>from</span></label>","<label class=""label""><span>从</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>至</span></label>"
WYSIWYG Editor,所见即所得编辑器
Add Product,添加产品
label,标签
Product Attributes,产品属性
Add New Attribute,添加新属性
Save in New Attribute Set,保存在新的属性集
Enter Name for New Attribute Set,为新属性集命名
Save Attribute,保存属性
Delete Attribute,删除属性
"Edit Product Attribute ""%1""","编辑产品属性 ""%1"""
New Product Attribute,新产品属性
Advanced Attribute Properties,高级属性特征
Attribute Code,属性代码
For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols,内部使用。必须独一无二没有空格。属性代码的最大长度必须小于% 1符号
Default Value,默认值
Unique Value,独特值
Unique Value (not shared with other products),独特值 (不与其他产品共享)
Not shared with other products,不与其他产品共享
Input Validation for Store Owner,店主的输入验证
Global,全球
Scope,范围
Declare attribute value saving scope,声明属性值保存范围
Frontend Properties,前端属性
Use in Quick Search,使用快速搜索
Use in Advanced Search,使用高级搜索
Comparable on Frontend,前端可比
Use for Promo Rule Conditions,使用促销规则条件
Enable WYSIWYG,启用所见即所得
